,art_char1_1.jpg,art_char1_2.jpg,art_char1_3.jpg,art_char1_4.jpg,art_char2_1.jpg,art_char2_2.jpg,art_char2_3.jpg,art_char2_4.jpg,landscape1.jpg,landscape2.jpg,landscape3.jpg,landscape4.jpg,schema1.PNG,schema2.PNG,schema3.PNG,schema4.PNG
art_char1_1.jpg,1.0,0.7226645,0.7041554,0.7879455,0.58702123,0.6982882,0.64876395,0.53507125,0.3468627,0.31872055,0.31121904,0.3132817,0.40880537,0.4081722,0.35633066,0.37138325
art_char1_2.jpg,0.7226645,1.0,0.71981853,0.7235163,0.54378396,0.67410314,0.6155789,0.5494806,0.34810954,0.33303392,0.33834735,0.3086213,0.35868573,0.3834718,0.33681232,0.34633437
art_char1_3.jpg,0.7041554,0.71981853,1.0,0.7201579,0.61573255,0.7564808,0.712691,0.53394103,0.35912293,0.32239515,0.33768237,0.3166972,0.38541782,0.39005983,0.32583004,0.3435692
art_char1_4.jpg,0.7879455,0.7235163,0.7201579,1.0,0.59880704,0.72556555,0.699023,0.5474312,0.35797173,0.31081825,0.33761185,0.324861,0.35784334,0.37804073,0.32730877,0.33103645
art_char2_1.jpg,0.58702123,0.54378396,0.61573255,0.59880704,1.0,0.6594982,0.62046987,0.4759779,0.3561341,0.31108588,0.3216093,0.2884807,0.35082343,0.34859598,0.3194778,0.32680526
art_char2_2.jpg,0.6982882,0.67410314,0.7564808,0.72556555,0.6594982,0.9999999,0.82068783,0.531026,0.3917678,0.34820127,0.3431514,0.33990687,0.3821045,0.4022095,0.3383524,0.34078988
art_char2_3.jpg,0.64876395,0.6155789,0.712691,0.699023,0.62046987,0.82068783,1.0,0.5259384,0.39501435,0.36946452,0.3562152,0.35293695,0.36709872,0.39378926,0.3251922,0.32086056
art_char2_4.jpg,0.53507125,0.5494806,0.53394103,0.5474312,0.4759779,0.531026,0.5259384,1.0,0.32560408,0.34782168,0.34182918,0.33088487,0.37949252,0.39098078,0.33527154,0.3736404
landscape1.jpg,0.3468627,0.34810954,0.35912293,0.35797173,0.3561341,0.3917678,0.39501435,0.32560408,0.9999999,0.58744776,0.6663758,0.4409622,0.370949,0.41664645,0.34584805,0.3473084
landscape2.jpg,0.31872055,0.33303392,0.32239515,0.31081825,0.31108588,0.34820127,0.36946452,0.34782168,0.58744776,0.99999976,0.6039662,0.394019,0.36486202,0.40124616,0.31053013,0.30037567
landscape3.jpg,0.31121904,0.33834735,0.33768237,0.33761185,0.3216093,0.3431514,0.3562152,0.34182918,0.6663758,0.6039662,1.0,0.42794523,0.3357955,0.35941714,0.31265715,0.30858675
landscape4.jpg,0.3132817,0.3086213,0.3166972,0.324861,0.2884807,0.33990687,0.35293695,0.33088487,0.4409622,0.394019,0.42794523,1.0,0.32582843,0.35775584,0.29860705,0.3147656
schema1.PNG,0.40880537,0.35868573,0.38541782,0.35784334,0.35082343,0.3821045,0.36709872,0.37949252,0.370949,0.36486202,0.3357955,0.32582843,1.0,0.8796645,0.75766945,0.7873287
schema2.PNG,0.4081722,0.3834718,0.39005983,0.37804073,0.34859598,0.4022095,0.39378926,0.39098078,0.41664645,0.40124616,0.35941714,0.35775584,0.8796645,0.9999999,0.71431637,0.7211756
schema3.PNG,0.35633066,0.33681232,0.32583004,0.32730877,0.3194778,0.3383524,0.3251922,0.33527154,0.34584805,0.31053013,0.31265715,0.29860705,0.75766945,0.71431637,0.9999999,0.8675537
schema4.PNG,0.37138325,0.34633437,0.3435692,0.33103645,0.32680526,0.34078988,0.32086056,0.3736404,0.3473084,0.30037567,0.30858675,0.3147656,0.7873287,0.7211756,0.8675537,1.0
